Rk,Player,,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,Todd Gurley,GurlTo01,RB,26.083,10/25/20,NFL,ATL,,DET,L 22-23,7,7,Sun,23,63,2.74,2
2,James Robinson,RobiJa00,RB,22.077,10/25/20,NFL,JAX,@,LAC,L 29-39,7,7,Sun,22,119,5.41,1
3,James Conner,ConnJa00,RB,25.173,10/25/20,NFL,PIT,@,TEN,W 27-24,6,7,Sun,20,82,4.1,0
4,Antonio Gibson,GibsAn00,RB,22.124,10/25/20,NFL,WAS,,DAL,W 25-3,7,7,Sun,20,128,6.4,1
5,Derrick Henry,HenrDe00,RB,26.295,10/25/20,NFL,TEN,,PIT,L 24-27,6,7,Sun,20,75,3.75,1
6,Jamaal Williams,WillJa06,RB,25.205,10/25/20,NFL,GNB,@,HOU,W 35-20,6,7,Sun,19,77,4.05,1
7,Kareem Hunt,HuntKa00,RB,25.08,10/25/20,NFL,CLE,@,CIN,W 37-34,7,7,Sun,18,76,4.22,0
8,Melvin Gordon,GordMe00,RB,27.195,10/25/20,NFL,DEN,,KAN,L 16-43,6,7,Sun,17,68,4,1
9,Jeff Wilson,WilsJe01,RB,24.344,10/25/20,NFL,SFO,@,NWE,W 33-6,7,7,Sun,17,112,6.59,3
10,Darrell Henderson,HendDa00,RB,23.068,10/26/20,NFL,LAR,,CHI,W 24-10,7,7,Mon,15,63,4.2,0
11,Carlos Hyde,HydeCa00,RB,30.035,10/25/20,NFL,SEA,@,ARI,L 34-37,6,7,Sun,15,68,4.53,1
12,Kenyan Drake,DrakKe00,RB,26.273,10/25/20,NFL,ARI,,SEA,W 37-34,7,7,Sun,14,34,2.43,0
13,David Johnson,JohnDa08,RB,28.314,10/25/20,NFL,HOU,,GNB,L 20-35,7,7,Sun,14,42,3,0
14,Alvin Kamara,KamaAl00,RB,25.092,10/25/20,NFL,NOR,,CAR,W 27-24,6,7,Sun,14,83,5.93,0
15,David Montgomery,MontDa01,RB,23.141,10/26/20,NFL,CHI,@,LAR,L 10-24,7,7,Mon,14,48,3.43,0
16,Kyler Murray,MurrKy00,QB,23.079,10/25/20,NFL,ARI,,SEA,W 37-34,7,7,Sun,14,67,4.79,1
