"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned"
"Jason Vander Laan","NO","TE","985","FA","Bye","0.4","0.2","null","0%"
"James Develin","NE","RB","986","FA","Bye","0.3","0.15","null","0%"
"Spencer Schnell","TB","WR","987","FA","Bye","0.15","0.15","null","0%"
"Trevor Siemian","(N/A)","QB","988","FA","Bye","0.12","0.12","","0%"
"Trace McSorley","BAL","QB","989","FA","Bye","0.1","0.1","null","6%"
"Alex Tanney","NYG","QB","990","FA","Bye","0.04","0.04","null","0%"
"Reuben Foster","WAS","LB","991","W (Wed)","Bye","0","0","null","50%"
"Lamar Miller","(N/A)","RB","992","FA","Bye","0","0","","47%"
"J.K. Dobbins","(N/A)","RB","993","FA","Bye","0","0","","41%"
"Jerry Jeudy","(N/A)","WR","994","FA","Bye","0","0","","41%"
"CeeDee Lamb","(N/A)","WR","995","FA","Bye","0","0","","41%"
"Henry Ruggs III","(N/A)","WR","996","FA","Bye","0","0","","41%"
"D'Andre Swift","(N/A)","RB","997","FA","Bye","0","0","","41%"
"Jonathan Taylor","(N/A)","RB","998","FA","Bye","0","0","","41%"
"Joe Burrow","(N/A)","QB","999","FA","Bye","0","0","","35%"
"Justin Jefferson","(N/A)","WR","1000","FA","Bye","0","0","","35%"
"Jerick McKinnon","SF","RB","1001","FA","Bye","0","0","null","35%"
"Tua Tagovailoa","(N/A)","QB","1002","FA","Bye","0","0","","35%"
"Cam Akers","(N/A)","RB","1003","FA","Bye","0","0","","29%"
"Clyde Edwards-Helaire","(N/A)","RB","1004","FA","Bye","0","0","","29%"
"Justin Herbert","(N/A)","QB","1005","FA","Bye","0","0","","29%"
"Tee Higgins","(N/A)","WR","1006","FA","Bye","0","0","","29%"
"Zack Moss","(N/A)","RB","1007","FA","Bye","0","0","","29%"
"Telvin Smith Sr.","(N/A)","LB","1008","W (Wed)","Bye","0","0","","25%"
"Eno Benjamin","(N/A)","RB","1009","FA","Bye","0","0","","24%"
"AJ Dillon","(N/A)","RB","1010","W (Wed)","Bye","0","0","","24%"
"Denzel Mims","(N/A)","WR","1011","W (Wed)","Bye","0","0","","24%"
"Jalen Reagor","(N/A)","WR","1012","FA","Bye","0","0","","24%"
"Equanimeous St. Brown","GB","WR","1013","FA","Bye","0","0","null","24%"
"Brandon Aiyuk","(N/A)","WR","1014","FA","Bye","0","0","","18%"
"Rodney Anderson","CIN","RB","1015","FA","Bye","0","0","null","18%"
"Darrynton Evans","(N/A)","RB","1016","FA","Bye","0","0","","18%"
"Laviska Shenault Jr.","(N/A)","WR","1017","FA","Bye","0","0","","18%"
"Ke'Shawn Vaughn","(N/A)","RB","1018","FA","Bye","0","0","","18%"
"Trayveon Williams","CIN","RB","1019","FA","Bye","0","0","null","18%"
"Dez Bryant","(N/A)","WR","1020","FA","Bye","0","0","","12%"
"Isaiah Crowell","(N/A)","RB","1021","FA","Bye","0","0","","12%"
"Josh Doctson","NYJ","WR","1022","FA","Bye","0","0","null","12%"
"Jacob Eason","(N/A)","QB","1023","FA","Bye","0","0","","12%"
"Antonio Gandy-Golden","(N/A)","WR","1024","FA","Bye","0","0","","12%"
"Rob Gronkowski","(N/A)","TE","1025","FA","Bye","0","0","","12%"
"Gary Jennings","MIA","WR","1026","FA","Bye","0","0","null","12%"
"Tyler Johnson","(N/A)","WR","1027","FA","Bye","0","0","","12%"
"Cole Kmet","(N/A)","TE","1028","FA","Bye","0","0","","12%"
"Jordan Love","(N/A)","QB","1029","FA","Bye","0","0","","12%"
"Andrew Luck","IND","QB","1030","FA","Bye","0","0","null","12%"
"Michael Pittman Jr.","(N/A)","WR","1031","FA","Bye","0","0","","12%"
"Jordan Reed","(N/A)","TE","1032","FA","Bye","0","0","","12%"
"Alex Smith","WAS","QB","1033","FA","Bye","0","0","null","12%"
"Adam Trautman","(N/A)","TE","1034","FA","Bye","0","0","","12%"
"P.J. Walker","CAR","QB","1035","FA","Bye","0","0","null","12%"
"J.T. Barrett","PIT","QB","1036","FA","Bye","0","0","null","6%"
"C.J. Beathard","SF","QB","1037","FA","Bye","0","0","null","6%"
"John David Booty","(N/A)","QB","1038","FA","Bye","0","0","","6%"
"Hunter Bryant","(N/A)","TE","1039","FA","Bye","0","0","","6%"
"Chase Claypool","(N/A)","WR","1040","FA","Bye","0","0","","6%"
"Corey Coleman","NYG","WR","1041","FA","Bye","0","0","null","6%"
"Kenneth Dixon","NYJ","RB","1042","FA","Bye","0","0","null","6%"
"Bryan Edwards","(N/A)","WR","1043","FA","Bye","0","0","","6%"
"Jake Fromm","(N/A)","QB","1044","FA","Bye","0","0","","6%"
"KJ Hamler","(N/A)","WR","1045","FA","Bye","0","0","","6%"
"Aaron Hernandez","(N/A)","TE","1046","FA","Bye","0","0","","6%"
"Jalen Hurts","(N/A)","QB","1047","FA","Bye","0","0","","6%"
"Cardale Jones","(N/A)","QB","1048","FA","Bye","0","0","","6%"
"Johnny Manziel","(N/A)","QB","1049","FA","Bye","0","0","","6%"
"Cameron Meredith","(N/A)","WR","1050","FA","Bye","0","0","","6%"
"J'Mon Moore","CLE","WR","1051","FA","Bye","0","0","null","6%"
"Thaddeus Moss","(N/A)","TE","1052","FA","Bye","0","0","","6%"
"Albert Okwuegbunam","(N/A)","TE","1053","FA","Bye","0","0","","6%"
"Lamical Perine","(N/A)","RB","1054","FA","Bye","0","0","","6%"
"Nathan Peterman","LV","QB","1055","FA","Bye","0","0","null","6%"
"Scottie Phillips","(N/A)","RB","1056","FA","Bye","0","0","","6%"
"Brett Rypien","DEN","QB","1057","FA","Bye","0","0","null","6%"
"Easton Stick","LAC","QB","1058","FA","Bye","0","0","null","6%"
"J.J. Taylor","(N/A)","RB","1059","FA","Bye","0","0","","6%"
"Isaako Aaitui","(N/A)","DT","1060","W (Wed)","Bye","0","0","","0%"
"Manny Abad","(N/A)","CB","1061","W (Wed)","Bye","0","0","","0%"
"Jared Abbrederis","DET","WR","1062","FA","Bye","0","0","null","0%"
"Mehdi Abdesmad","(N/A)","DE","1063","W (Wed)","Bye","0","0","","0%"
"Isa Abdul-Quddus","(N/A)","S","1064","W (Wed)","Bye","0","0","","0%"
"Ibraham Abdulai","NYG","DT","1065","W (Wed)","Bye","0","0","null","0%"
"Hamza Abdullah","(N/A)","S","1066","W (Wed)","Bye","0","0","","0%"
"Khalid Abdullah","(N/A)","RB","1067","FA","Bye","0","0","","0%"
"Micah Abernathy","(N/A)","CB,S","1068","W (Wed)","Bye","0","0","","0%"
"Rob Abiamiri","(N/A)","WR","1069","FA","Bye","0","0","","0%"
"Victor Abiamiri","(N/A)","DE","1070","W (Wed)","Bye","0","0","","0%"
"John Abraham","(N/A)","LB","1071","W (Wed)","Bye","0","0","","0%"
"Chad Abram","(N/A)","RB","1072","FA","Bye","0","0","","0%"
"Joshua Abrams","GB","CB","1073","W (Wed)","Bye","0","0","null","0%"
"Emmanuel Acho","(N/A)","LB","1074","W (Wed)","Bye","0","0","","0%"
"Kenneth Acker","(N/A)","CB","1075","W (Wed)","Bye","0","0","","0%"
"Jaelon Acklin","(N/A)","WR","1076","FA","Bye","0","0","","0%"
"Corey Acosta","(N/A)","K","1077","FA","Bye","0","0","","0%"
"Blue Adams","(N/A)","CB","1078","W (Wed)","Bye","0","0","","0%"
"Charlie Adams","(N/A)","WR","1079","FA","Bye","0","0","","0%"
"D.J. Adams","(N/A)","RB","1080","FA","Bye","0","0","","0%"
"Darvin Adams","(N/A)","WR","1081","FA","Bye","0","0","","0%"
"Ishmael Adams","(N/A)","CB","1082","W (Wed)","Bye","0","0","","0%"
"Jerell Adams","(N/A)","TE","1083","FA","Bye","0","0","","0%"
"Joe Adams","(N/A)","WR","1084","FA","Bye","0","0","","0%"
"Keion Adams","(N/A)","LB","1085","W (Wed)","Bye","0","0","","0%"
"Kris Adams","NYG","WR","1086","FA","Bye","0","0","null","0%"
"Kyle Adams","(N/A)","TE","1087","FA","Bye","0","0","","0%"
"Michael Adams","(N/A)","CB","1088","W (Wed)","Bye","0","0","","0%"
"Nelson Adams","(N/A)","DE,DT","1089","W (Wed)","Bye","0","0","","0%"
"Rodney Adams","IND","WR","1090","FA","Bye","0","0","null","0%"
"Derrick Addai","CLE","LB","1091","W (Wed)","Bye","0","0","null","0%"
"Bralon Addison","MIN","RB","1092","FA","Bye","0","0","null","0%"
"Quincy Adeboyejo","NE","WR","1093","FA","Bye","0","0","null","0%"
"Aaron Adeoye","BAL","LB","1094","W (Wed)","Bye","0","0","null","0%"
"Tenny Adewusi","(N/A)","CB,S","1095","W (Wed)","Bye","0","0","","0%"
"Victor Adeyanju","CIN","DE","1096","W (Wed)","Bye","0","0","null","0%"
"Kenton Adeyemi","(N/A)","DE","1097","W (Wed)","Bye","0","0","","0%"
"Jude Adjei-Barimah","(N/A)","CB","1098","W (Wed)","Bye","0","0","","0%"
"James Adkisson","(N/A)","WR","1099","FA","Bye","0","0","","0%"
"Daniel Adongo","IND","LB","1100","W (Wed)","Bye","0","0","null","0%"
"Pat Afriyie","(N/A)","DE","1101","W (Wed)","Bye","0","0","","0%"
"Ray Agnew","(N/A)","RB","1102","FA","Bye","0","0","","0%"
"Roberto Aguayo","(N/A)","K","1103","FA","Bye","0","0","","0%"
"Carlton Agudosi","(N/A)","WR","1104","FA","Bye","0","0","","0%"
"Devin Aguilar","(N/A)","WR","1105","FA","Bye","0","0","","0%"
"Kamar Aiken","(N/A)","WR","1106","FA","Bye","0","0","","0%"
"Sam Aiken","(N/A)","WR","1107","FA","Bye","0","0","","0%"
"Erik Ainge","(N/A)","QB","1108","FA","Bye","0","0","","0%"
"Seyi Ajirotutu","(N/A)","WR","1109","FA","Bye","0","0","","0%"
"David Akers","(N/A)","K","1110","FA","Bye","0","0","","0%"
"Freedom Akinmoladun","CIN","DE","1111","W (Wed)","Bye","0","0","null","0%"
"C.J. Akins","(N/A)","WR","1112","FA","Bye","0","0","","0%"
"Curtis Akins","(N/A)","LB","1113","W (Wed)","Bye","0","0","","0%"
"Elvis Akpla","(N/A)","WR","1114","FA","Bye","0","0","","0%"
"Derek Akunne","(N/A)","LB","1115","W (Wed)","Bye","0","0","","0%"
"Otaro Alaka","BAL","LB","1116","W (Wed)","Bye","0","0","null","0%"
"Bryson Albright","(N/A)","DE,LB","1117","W (Wed)","Bye","0","0","","0%"
"Zac Alcorn","(N/A)","WR,TE","1118","FA","Bye","0","0","","0%"
"Adonis Alexander","LAR","CB","1119","W (Wed)","Bye","0","0","null","0%"
"Danario Alexander","(N/A)","WR","1120","FA","Bye","0","0","","0%"
"Deontez Alexander","(N/A)","WR","1121","FA","Bye","0","0","","0%"
"Dominique Alexander","(N/A)","LB","1122","W (Wed)","Bye","0","0","","0%"
"Ed Alexander","(N/A)","DT","1123","W (Wed)","Bye","0","0","","0%"
"Frank Alexander","CAR","DE","1124","W (Wed)","Bye","0","0","null","0%"
"Stephen Alexander","(N/A)","WR","1125","FA","Bye","0","0","","0%"
"Terrence Alexander","(N/A)","CB","1126","W (Wed)","Bye","0","0","","0%"
"Justin Alexandre","(N/A)","DE","1127","W (Wed)","Bye","0","0","","0%"
"Rich Alexis","(N/A)","RB","1128","FA","Bye","0","0","","0%"
"Joey Alfieri","SF","LB","1129","W (Wed)","Bye","0","0","null","0%"
"Mario Alford","(N/A)","WR","1130","FA","Bye","0","0","","0%"
"Robert Alford","ARI","CB","1131","W (Wed)","Bye","0","0","null","0%"
"Ricky Ali'ifua","(N/A)","DE","1132","W (Wed)","Bye","0","0","","0%"
"Michael Allan","(N/A)","TE","1133","FA","Bye","0","0","","0%"
"Anthony Allen","(N/A)","RB","1134","FA","Bye","0","0","","0%"
"Antonio Allen","(N/A)","S","1135","W (Wed)","Bye","0","0","","0%"
"Armando Allen","(N/A)","RB","1136","FA","Bye","0","0","","0%"
"Austin Allen","(N/A)","QB","1137","FA","Bye","0","0","","0%"
"Brian Allen","SEA","CB","1138","W (Wed)","Bye","0","0","null","0%"
"Chase Allen","(N/A)","LB","1139","W (Wed)","Bye","0","0","","0%"
"Davonte Allen","(N/A)","WR","1140","FA","Bye","0","0","","0%"
"Dwayne Allen","(N/A)","TE","1141","FA","Bye","0","0","","0%"
"Floyd Allen","(N/A)","WR","1142","FA","Bye","0","0","","0%"
"Jake Allen","(N/A)","WR","1143","FA","Bye","0","0","","0%"
"Jermaine Allen","(N/A)","RB","1144","FA","Bye","0","0","","0%"
"Julian Allen","(N/A)","TE","1145","FA","Bye","0","0","","0%"
"Kenny Allen","(N/A)","K","1146","FA","Bye","0","0","","0%"
"Marcus Allen","PIT","S","1147","W (Wed)","Bye","0","0","null","0%"
"Marvin Allen","(N/A)","WR","1148","FA","Bye","0","0","","0%"
"Nate Allen","(N/A)","S","1149","W (Wed)","Bye","0","0","","0%"
"RaShaun Allen","(N/A)","TE","1150","FA","Bye","0","0","","0%"
"Randy Allen","(N/A)","LB","1151","W (Wed)","Bye","0","0","","0%"
"Torrence Allen","(N/A)","WR","1152","FA","Bye","0","0","","0%"
"Will Allen","(N/A)","S","1153","W (Wed)","Bye","0","0","","0%"
"Bryson Allen-Williams","(N/A)","LB","1154","W (Wed)","Bye","0","0","","0%"
"Jalen Allison","(N/A)","CB","1155","W (Wed)","Bye","0","0","","0%"
"Jeff Allison","(N/A)","LB","1156","W (Wed)","Bye","0","0","","0%"
"Anthony Alridge","(N/A)","RB","1157","FA","Bye","0","0","","0%"
"Johnathan Alston","(N/A)","CB","1158","W (Wed)","Bye","0","0","","0%"
"Shawne Alston","(N/A)","RB","1159","FA","Bye","0","0","","0%"
"Delbert Alvarado","(N/A)","K","1160","FA","Bye","0","0","","0%"
"Jace Amaro","(N/A)","TE","1161","FA","Bye","0","0","","0%"
"Luther Ambrose","(N/A)","WR","1162","FA","Bye","0","0","","0%"
"David Amerson","(N/A)","CB","1163","W (Wed)","Bye","0","0","","0%"
"Otis Amey","(N/A)","WR","1164","FA","Bye","0","0","","0%"
"Anthony Amos","(N/A)","WR","1165","FA","Bye","0","0","","0%"
"DaShaun Amos","GB","CB","1166","W (Wed)","Bye","0","0","null","0%"
"Jonathan Amosa","(N/A)","RB","1167","FA","Bye","0","0","","0%"
"Siupeli Anau","(N/A)","DT","1168","W (Wed)","Bye","0","0","","0%"
"Morten Andersen","(N/A)","K","1169","FA","Bye","0","0","","0%"
"Phillip Andersen","(N/A)","K","1170","FA","Bye","0","0","","0%"
"Bruce Anderson III","IND","RB","1171","FA","Bye","0","0","null","0%"
"Andre Anderson","SEA","RB","1172","FA","Bye","0","0","null","0%"
"Bryan Anderson","(N/A)","WR","1173","FA","Bye","0","0","","0%"
"Busta Anderson","(N/A)","TE","1174","FA","Bye","0","0","","0%"
"Colin Anderson","(N/A)","TE","1175","FA","Bye","0","0","","0%"
"Colt Anderson","(N/A)","S","1176","W (Wed)","Bye","0","0","","0%"
"David Anderson","(N/A)","WR","1177","FA","Bye","0","0","","0%"
"Demetris Anderson","(N/A)","DT","1178","W (Wed)","Bye","0","0","","0%"
"Deon Anderson","(N/A)","RB","1179","FA","Bye","0","0","","0%"
"Dres Anderson","(N/A)","WR","1180","FA","Bye","0","0","","0%"
"Drew Anderson","ARI","QB","1181","FA","Bye","0","0","null","0%"
"Joe Anderson","(N/A)","WR","1182","FA","Bye","0","0","","0%"
"Jonathan Anderson","(N/A)","LB","1183","W (Wed)","Bye","0","0","","0%"
"Kevin Anderson","(N/A)","LB","1184","W (Wed)","Bye","0","0","","0%"
"Kiante Anderson","(N/A)","DE","1185","W (Wed)","Bye","0","0","","0%"
"Mike Anderson","(N/A)","RB","1186","FA","Bye","0","0","","0%"
"Stephen Anderson","LAC","TE","1187","FA","Bye","0","0","null","0%"
"Todd Anderson","(N/A)","RB","1188","FA","Bye","0","0","","0%"
"Zaire Anderson","(N/A)","LB","1189","W (Wed)","Bye","0","0","","0%"
"Antonio Andrews","(N/A)","RB","1190","FA","Bye","0","0","","0%"
"Darren Andrews","(N/A)","WR","1191","FA","Bye","0","0","","0%"
"Mark Anelli","(N/A)","WR","1192","FA","Bye","0","0","","0%"
"Richard Angulo","(N/A)","TE","1193","FA","Bye","0","0","","0%"
"Jesse Aniebonam","(N/A)","LB","1194","W (Wed)","Bye","0","0","","0%"
"Andrew Ankrah","(N/A)","LB","1195","W (Wed)","Bye","0","0","","0%"
"Blake Annen","(N/A)","TE","1196","FA","Bye","0","0","","0%"
"Deon Anthony","(N/A)","WR","1197","FA","Bye","0","0","","0%"
"Rodelin Anthony","(N/A)","TE","1198","FA","Bye","0","0","","0%"
"Danny Anthrop","(N/A)","WR","1199","FA","Bye","0","0","","0%"
"Hubert Anyiam","(N/A)","WR","1200","FA","Bye","0","0","","0%"
"Austin Appleby","(N/A)","QB","1201","FA","Bye","0","0","","0%"
"Emmanuel Arceneaux","(N/A)","WR","1202","FA","Bye","0","0","","0%"
"Dri Archer","BUF","RB,WR","1203","FA","Bye","0","0","null","0%"
"Ike Ariguzo","(N/A)","WR,TE","1204","FA","Bye","0","0","","0%"
"Thurston Armbrister","(N/A)","LB","1205","W (Wed)","Bye","0","0","","0%"
"Tommy Armstrong Jr.","(N/A)","S","1206","W (Wed)","Bye","0","0","","0%"
"Alric Arnett","DET","WR","1207","FA","Bye","0","0","null","0%"
"J.J. Arrington","(N/A)","RB","1208","FA","Bye","0","0","","0%"
"Cameron Artis-Payne","(N/A)","RB","1209","FA","Bye","0","0","","0%"
"Ade Aruna","LV","DE","1210","W (Wed)","Bye","0","0","null","0%"
"Richard Ash","(N/A)","DE,DT","1211","W (Wed)","Bye","0","0","","0%"
"Matt Asiata","(N/A)","RB","1212","FA","Bye","0","0","","0%"
"B.J. Askew","(N/A)","RB","1213","FA","Bye","0","0","","0%"
"Nate Askew","CAR","TE,LB","1214","FA","Bye","0","0","null","0%"
"Dravon Askew-Henry","NYG","S","1215","W (Wed)","Bye","0","0","null","0%"
"George Aston","NYG","RB","1216","FA","Bye","0","0","null","0%"
"Drew Atchison","(N/A)","TE","1217","FA","Bye","0","0","","0%"
"Lamar Atkins","(N/A)","WR","1218","FA","Bye","0","0","","0%"
"George Atkinson III","(N/A)","RB","1219","FA","Bye","0","0","","0%"
"Kyle Auffray","(N/A)","TE","1220","FA","Bye","0","0","","0%"
"Josh Augusta","(N/A)","DT","1221","W (Wed)","Bye","0","0","","0%"
"David Ausberry","(N/A)","TE","1222","FA","Bye","0","0","","0%"
"Cliff Avril","(N/A)","DE","1223","W (Wed)","Bye","0","0","","0%"
"Micah Awe","(N/A)","LB","1224","W (Wed)","Bye","0","0","","0%"
"Obafemi Ayanbadejo","(N/A)","RB","1225","FA","Bye","0","0","","0%"
"Akeem Ayers","NYG","LB","1226","W (Wed)","Bye","0","0","null","0%"
"Demarcus Ayers","(N/A)","WR","1227","FA","Bye","0","0","","0%"
"Caleb Azubike","(N/A)","DE","1228","W (Wed)","Bye","0","0","","0%"
"Jonathan Babineaux","(N/A)","DT","1229","W (Wed)","Bye","0","0","","0%"
"Joe Bacci","(N/A)","RB","1230","FA","Bye","0","0","","0%"
"Alex Bachman","NYG","WR","1231","FA","Bye","0","0","null","0%"
"Kennard Backman","(N/A)","TE","1232","FA","Bye","0","0","","0%"
"Jeff Badet","(N/A)","WR","1233","FA","Bye","0","0","","0%"
"Sherman Badie","(N/A)","RB","1234","FA","Bye","0","0","","0%"
"Stephen Baggett","(N/A)","TE","1235","FA","Bye","0","0","","0%"
"Sergio Bailey II","(N/A)","WR","1236","FA","Bye","0","0","","0%"
"Aaron Bailey","(N/A)","WR","1237","FA","Bye","0","0","","0%"
"Rasheed Bailey","(N/A)","WR","1238","FA","Bye","0","0","","0%"
"Stedman Bailey","(N/A)","WR","1239","FA","Bye","0","0","","0%"
"Sterling Bailey","(N/A)","DE","1240","W (Wed)","Bye","0","0","","0%"
"Derrick Baity Jr.","NYG","CB","1241","W (Wed)","Bye","0","0","null","0%"
"Chris Baker","(N/A)","DT","1242","W (Wed)","Bye","0","0","","0%"
"Dallas Baker","(N/A)","WR","1243","FA","Bye","0","0","","0%"
"Dorian Baker","(N/A)","WR","1244","FA","Bye","0","0","","0%"
"Jared Baker","(N/A)","RB","1245","FA","Bye","0","0","","0%"
"Juante Baldwin","(N/A)","CB","1246","W (Wed)","Bye","0","0","","0%"
"Parker Baldwin","(N/A)","S","1247","W (Wed)","Bye","0","0","","0%"
"Alan Ball","(N/A)","CB","1248","W (Wed)","Bye","0","0","","0%"
"Montee Ball","(N/A)","RB","1249","FA","Bye","0","0","","0%"
"Neiron Ball","(N/A)","LB","1250","W (Wed)","Bye","0","0","","0%"
"Reggie Ball","DET","WR","1251","FA","Bye","0","0","null","0%"
"Corrion Ballard","(N/A)","S","1252","W (Wed)","Bye","0","0","","0%"
"Lonnie Ballentine","(N/A)","S","1253","W (Wed)","Bye","0","0","","0%"
"Josh Banderas","(N/A)","LB","1254","W (Wed)","Bye","0","0","","0%"
"Shawn Bane","(N/A)","WR","1255","FA","Bye","0","0","","0%"
"Daryle Banfield","(N/A)","DT","1256","W (Wed)","Bye","0","0","","0%"
"Blake Banham","(N/A)","WR","1257","FA","Bye","0","0","","0%"
"Brandon Banks","WAS","WR","1258","FA","Bye","0","0","null","0%"
"Brandon Banks","(N/A)","DE,DT","1259","W (Wed)","Bye","0","0","","0%"
"Johnthan Banks","HOU","CB","1260","W (Wed)","Bye","0","0","null","0%"
"Jonathan Banks","(N/A)","QB","1261","FA","Bye","0","0","","0%"
"Josh Banks","(N/A)","DT","1262","W (Wed)","Bye","0","0","","0%"
"Joe Banyard","BUF","RB","1263","FA","Bye","0","0","null","0%"
"Jared Barber","(N/A)","LB","1264","W (Wed)","Bye","0","0","","0%"
"Austin Barnard","(N/A)","K","1265","FA","Bye","0","0","","0%"
"Adairius Barnes","(N/A)","CB","1266","W (Wed)","Bye","0","0","","0%"
"Alex Barnes","(N/A)","RB","1267","FA","Bye","0","0","","0%"
"Brandon Barnes","(N/A)","TE","1268","FA","Bye","0","0","","0%"
"Deion Barnes","(N/A)","LB","1269","W (Wed)","Bye","0","0","","0%"
"Keenan Barnes","(N/A)","WR","1270","FA","Bye","0","0","","0%"
"T.J. Barnes","(N/A)","DT","1271","W (Wed)","Bye","0","0","","0%"
"Tavaris Barnes","(N/A)","DE","1272","W (Wed)","Bye","0","0","","0%"
"Dante Barnett","(N/A)","CB,S","1273","W (Wed)","Bye","0","0","","0%"
"Deondre Barnett","(N/A)","DE","1274","W (Wed)","Bye","0","0","","0%"
"Tarow Barney","(N/A)","DT","1275","W (Wed)","Bye","0","0","","0%"
"Gary Barnidge","(N/A)","TE","1276","FA","Bye","0","0","","0%"
"John Baron II","(N/A)","K","1277","FA","Bye","0","0","","0%"
"Woody Baron","(N/A)","DE,DT","1278","W (Wed)","Bye","0","0","","0%"
"Alex Barrett","SF","DE","1279","W (Wed)","Bye","0","0","null","0%"
"Sam Barrington","(N/A)","LB","1280","W (Wed)","Bye","0","0","","0%"
"Lamin Barrow","(N/A)","LB","1281","W (Wed)","Bye","0","0","","0%"
"Michael Bart","(N/A)","DE,LB","1282","W (Wed)","Bye","0","0","","0%"
"Connor Barth","CHI","K","1283","FA","Bye","0","0","null","0%"
"Joplo Bartu","ARI","LB","1284","W (Wed)","Bye","0","0","null","0%"
"Mike Basile","(N/A)","CB","1285","W (Wed)","Bye","0","0","","0%"
"David Bass","(N/A)","LB","1286","W (Wed)","Bye","0","0","","0%"
"Trevor Bates","(N/A)","LB","1287","W (Wed)","Bye","0","0","","0%"
"Cameron Batson","TEN","WR","1288","FA","Bye","0","0","null","0%"
"Elijah Battle","(N/A)","CB","1289","W (Wed)","Bye","0","0","","0%"
"John Battle","PIT","S","1290","W (Wed)","Bye","0","0","null","0%"
"Marcus Baugh","WAS","TE","1291","FA","Bye","0","0","null","0%"
"Keith Baxter","(N/A)","CB","1292","W (Wed)","Bye","0","0","","0%"
"Evan Baylis","GB","TE","1293","FA","Bye","0","0","null","0%"
"Nathan Bazata","(N/A)","DT","1294","W (Wed)","Bye","0","0","","0%"
"Chris Bazile","(N/A)","TE","1295","FA","Bye","0","0","","0%"
"Alex Bazzie","(N/A)","LB","1296","W (Wed)","Bye","0","0","","0%"
"Emmanuel Beal","(N/A)","LB","1297","W (Wed)","Bye","0","0","","0%"
"Jimmy Bean","(N/A)","DE","1298","W (Wed)","Bye","0","0","","0%"
"Bobo Beathard","(N/A)","WR","1299","FA","Bye","0","0","","0%"
"Larry Beavers","(N/A)","WR","1300","FA","Bye","0","0","","0%"
"John Beck","(N/A)","QB","1301","FA","Bye","0","0","","0%"
"Nate Becker","BUF","TE","1302","FA","Bye","0","0","null","0%"
"Terry Beckner","TB","DT","1303","W (Wed)","Bye","0","0","null","0%"
"Kendell Beckwith","TB","LB","1304","W (Wed)","Bye","0","0","null","0%"
"Reggie Begelton","GB","WR","1305","FA","Bye","0","0","null","0%"
"Drew Belcher","(N/A)","TE","1306","FA","Bye","0","0","","0%"
"Brandon Bell","(N/A)","LB","1307","W (Wed)","Bye","0","0","","0%"
"Dalton Bell","(N/A)","QB","1308","FA","Bye","0","0","","0%"
"Devon Bell","(N/A)","K","1309","FA","Bye","0","0","","0%"
"Jered Bell","(N/A)","S","1310","W (Wed)","Bye","0","0","","0%"
"Joique Bell","(N/A)","RB","1311","FA","Bye","0","0","","0%"
"Kenny Bell","(N/A)","WR","1312","FA","Bye","0","0","","0%"
"Quinton Bell","TB","LB","1313","W (Wed)","Bye","0","0","null","0%"
"Davin Bellamy","HOU","LB","1314","W (Wed)","Bye","0","0","null","0%"
"Kelvin Benjamin","(N/A)","WR","1315","FA","Bye","0","0","","0%"
"Kurt Benkert","ATL","QB","1316","FA","Bye","0","0","null","0%"
"Arrelious Benn","(N/A)","WR","1317","FA","Bye","0","0","","0%"
"Bryan Bennett","(N/A)","QB","1318","FA","Bye","0","0","","0%"
"Martellus Bennett","(N/A)","TE","1319","FA","Bye","0","0","","0%"
"Michael Bennett","(N/A)","DT","1320","W (Wed)","Bye","0","0","","0%"
"Michael Bennett","(N/A)","WR","1321","FA","Bye","0","0","","0%"
"Trinity Benson","DEN","WR","1322","FA","Bye","0","0","null","0%"
"V'Angelo Bentley","(N/A)","CB","1323","W (Wed)","Bye","0","0","","0%"
"Al-Rasheed Benton","(N/A)","LB","1324","W (Wed)","Bye","0","0","","0%"
"Bene Benwikere","(N/A)","CB","1325","W (Wed)","Bye","0","0","","0%"
"Mike Bercovici","(N/A)","QB","1326","FA","Bye","0","0","","0%"
"Sam Bergen","(N/A)","RB","1327","FA","Bye","0","0","","0%"
"Justin Berger","(N/A)","WR","1328","FA","Bye","0","0","","0%"
"Nat Berhe","(N/A)","S","1329","W (Wed)","Bye","0","0","","0%"
"Eric Berry","(N/A)","S","1330","W (Wed)","Bye","0","0","","0%"
"Evan Berry","(N/A)","WR","1331","FA","Bye","0","0","","0%"
"Brenton Bersin","(N/A)","WR","1332","FA","Bye","0","0","","0%"
"Taylor Bertolet","(N/A)","K","1333","FA","Bye","0","0","","0%"
"Yurik Bethune","(N/A)","LB","1334","W (Wed)","Bye","0","0","","0%"
"Matt Betts","(N/A)","LB","1335","W (Wed)","Bye","0","0","","0%"
"Tyrice Beverette","(N/A)","S","1336","W (Wed)","Bye","0","0","","0%"
"Collin Bevins","(N/A)","DT","1337","W (Wed)","Bye","0","0","","0%"
"E.J. Bibbs","(N/A)","TE","1338","FA","Bye","0","0","","0%"
"Kapri Bibbs","(N/A)","RB","1339","FA","Bye","0","0","","0%"
"Keishawn Bierria","ARI","LB","1340","W (Wed)","Bye","0","0","null","0%"
"Kenny Bigelow Jr.","(N/A)","DT","1341","W (Wed)","Bye","0","0","","0%"
"Zeek Bigger","(N/A)","LB","1342","W (Wed)","Bye","0","0","","0%"
