Rk,Player,,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
47,Benny Snell Jr.,SnelBe00,RB,22.234,10/18/20,NFL,PIT,,CLE,W 38-7,5,6,Sun,6,17,2.83,1
48,Darrel Williams,WillDa10,RB,25.187,10/19/20,NFL,KAN,@,BUF,W 26-17,6,6,Mon,6,26,4.33,1
49,Rex Burkhead,BurkRe00,RB,30.108,10/18/20,NFL,NWE,,DEN,L 12-18,5,6,Sun,5,14,2.8,0
50,AJ Dillon,DillAJ00,RB,22.169,10/18/20,NFL,GNB,@,TAM,L 10-38,5,6,Sun,5,31,6.2,0
51,Chase Edmonds,EdmoCh00,RB,24.189,10/19/20,NFL,ARI,@,DAL,W 38-10,6,6,Mon,5,23,4.6,0
52,Nick Foles,FoleNi00,QB,31.272,10/18/20,NFL,CHI,@,CAR,W 23-16,6,6,Sun,5,4,0.8,1
53,Mark Ingram,IngrMa01,RB,30.302,10/18/20,NFL,BAL,@,PHI,W 30-28,6,6,Sun,5,20,4,0
54,Drew Lock,LockDr00,QB,23.343,10/18/20,NFL,DEN,@,NWE,W 18-12,5,6,Sun,5,-1,-0.2,0
55,Jeremy McNichols,McNiJe00,RB,24.297,10/18/20,NFL,TEN,,HOU,W 42-36,5,6,Sun,5,51,10.2,0
56,Zack Moss,MossZa00,RB,22.308,10/19/20,NFL,BUF,,KAN,L 17-26,6,6,Mon,5,10,2,0
57,Matthew Stafford,StafMa00,QB,32.254,10/18/20,NFL,DET,@,JAX,W 34-16,5,6,Sun,5,14,2.8,0
58,Ke'Shawn Vaughn,VaugKe00,RB,23.167,10/18/20,NFL,TAM,,GNB,W 38-10,6,6,Sun,5,42,8.4,0
59,Carson Wentz,WentCa00,QB,27.293,10/18/20,NFL,PHI,,BAL,L 28-30,6,6,Sun,5,49,9.8,1
60,Peyton Barber,BarbPe01,RB,26.234,10/18/20,NFL,WAS,@,NYG,L 19-20,6,6,Sun,4,6,1.5,0
61,Jimmy Garoppolo,GaroJi00,QB,28.351,10/18/20,NFL,SFO,,LAR,W 24-16,6,6,Sun,4,8,2,0
62,Dontrell Hilliard,HillDo00,RB,25.235,10/18/20,NFL,CLE,@,PIT,L 7-38,6,6,Sun,4,29,7.25,0
63,D'Ernest Johnson,JohnDE04,RB,24.234,10/18/20,NFL,CLE,@,PIT,L 7-38,6,6,Sun,4,1,0.25,0
64,Duke Johnson,JohnDu00,RB,27.025,10/18/20,NFL,HOU,@,TEN,L 36-42,6,6,Sun,4,9,2.25,0
65,Kerryon Johnson,JohnKe06,RB,23.11,10/18/20,NFL,DET,@,JAX,W 34-16,5,6,Sun,4,9,2.25,0
66,LeSean McCoy,McCoLe01,RB,32.098,10/18/20,NFL,TAM,,GNB,W 38-10,6,6,Sun,4,1,0.25,0
67,Matt Ryan,RyanMa00,QB,35.154,10/18/20,NFL,ATL,@,MIN,W 40-23,6,6,Sun,4,8,2,0
68,Deshaun Watson,WatsDe00,QB,25.034,10/18/20,NFL,HOU,@,TEN,L 36-42,6,6,Sun,4,26,6.5,0
69,James White,WhitJa02,RB,28.258,10/18/20,NFL,NWE,,DEN,L 12-18,5,6,Sun,4,8,2,0
70,Jamaal Williams,WillJa06,RB,25.198,10/18/20,NFL,GNB,@,TAM,L 10-38,5,6,Sun,4,34,8.5,0
71,Joe Burrow,BurrJo01,QB,23.313,10/18/20,NFL,CIN,@,IND,L 27-31,6,6,Sun,3,2,0.67,1
72,Trenton Cannon,CannTr00,RB,26.087,10/18/20,NFL,CAR,,CHI,L 16-23,6,6,Sun,3,12,4,0
73,Rico Dowdle,DowdRi01,RB,22.127,10/19/20,NFL,DAL,,ARI,L 10-38,6,6,Mon,3,13,4.33,0
74,Blaine Gabbert,GabbBl00,QB,31.003,10/18/20,NFL,TAM,,GNB,W 38-10,6,6,Sun,3,2,0.67,0
75,Ty Johnson,JohnTy02,RB,23.031,10/18/20,NFL,NYJ,@,MIA,L 0-24,6,6,Sun,3,42,14,0
76,Anthony McFarland Jr.,McFaAn00,RB,21.228,10/18/20,NFL,PIT,,CLE,W 38-7,5,6,Sun,3,2,0.67,0
77,Gardner Minshew II,MinsGa00,QB,24.155,10/18/20,NFL,JAX,,DET,L 16-34,6,6,Sun,3,14,4.67,1
78,Ben Roethlisberger,RoetBe00,QB,38.23,10/18/20,NFL,PIT,,CLE,W 38-7,5,6,Sun,3,5,1.67,0
79,Mason Rudolph,RudoMa00,QB,25.093,10/18/20,NFL,PIT,,CLE,W 38-7,5,6,Sun,3,-3,-1,0
80,Darwin Thompson,ThomDa06,RB,24.167,10/19/20,NFL,KAN,@,BUF,W 26-17,6,6,Mon,3,17,5.67,0
81,Ameer Abdullah,AbduAm00,RB,27.127,10/18/20,NFL,MIN,,ATL,L 23-40,6,6,Sun,2,7,3.5,0
82,Kyle Allen,AlleKy00,QB,24.224,10/18/20,NFL,WAS,@,NYG,L 19-20,6,6,Sun,2,8,4,0
